127.0.0.1 - - [16/Mar/2013:23:55:23 +0900] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:33 +0900] "GET /struts2.3.8/uru001/test001 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:33 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:33 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:44 +0900] "GET /struts1.3.10/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:44 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:52 +0900] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:52 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:55:52 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:56:23 +0900] "GET /struts1.3.10/index.html HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:56:23 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:56:55 +0900] "GET /struts1.3.10/index.html HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:56:55 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:56:55 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:57:01 +0900] "GET /struts1.3.10/index.xhtml HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:57:01 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:57:24 +0900] "GET /struts1.3.10/ HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:57:25 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [16/Mar/2013:23:57:25 +0900] "GET /favicon.ico HTTP/1.1" 404 998
