127.0.0.1 - - [01/Apr/2013:20:34:22 +0900] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:28 +0900] "POST /struts1.3.10/Auth.do HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:28 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:28 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:42 +0900] "POST /struts1.3.10/Auth.do HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:42 +0900] "GET /struts1.3.10/contents/style/common.css HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:42 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:45 +0900] "POST /struts1.3.10/EditUserInfo.do HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:45 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:45 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:46 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:46 +0900] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:47 +0900] "POST /struts1.3.10/Auth.do HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:48 +0900] "GET /struts1.3.10/contents/style/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2013:20:34:48 +0900] "GET /favicon.ico HTTP/1.1" 404 998
